 # Id   alpha  r  the  phi  sigma_r   sigma_h   score #
 #  0 generation.# 
  3  10  74  85  312  2428.57  71428.6  3.79645e-05
  4  10  74  85  519  2142.86  71428.6  0.000381485
  5  10  74  85  519  2428.57  71428.6  0.000400369
  6  10  74  28  519  1285.71  71428.6  0.00016366
  7  10  74  57  596  2428.57  71428.6  7.94143e-05
  8  10  74  57  519  3000  71428.6  0.000168466
  9  0  74  85  312  2428.57  71428.6  3.23317e-05
  10  10  74  57  519  2428.57  71428.6  0.000287158
  11  10  74  85  506  2428.57  71428.6  0.000287725
  12  10  71  71  519  3000  71428.6  9.04963e-05
  13  10  74  85  519  2428.57  71428.6  0.000400369
  14  10  74  85  519  2428.57  71428.6  0.000400369
  15  10  72  28  519  2142.86  14285.7  2.85547e-05
  16  10  74  85  519  2428.57  71428.6  0.000400369
  17  10  74  100  519  3000  14285.7  3.01721e-05
  18  90  74  85  519  2428.57  71428.6  3.76794e-05
  19  10  74  85  506  2428.57  71428.6  0.000287725
  20  10  74  42  519  2142.86  71428.6  0.000347596
  21  30  74  85  519  2428.57  57142.9  0.000137782
  22  10  74  85  519  2142.86  71428.6  0.000381485
  23  10  74  85  519  1285.71  71428.6  0.000147764
  24  10  74  85  519  2428.57  14285.7  3.07724e-05
  25  10  74  85  519  1285.71  71428.6  0.000147764
  26  10  74  28  519  2428.57  71428.6  0.00022992
  27  10  74  85  519  2428.57  100000  6.44063e-05
  28  10  74  85  519  1000  57142.9  8.1139e-05
  29  10  78  85  519  2428.57  71428.6  7.49665e-05
  30  10  74  42  519  2428.57  71428.6  0.000242729
  31  50  71  42  648  2428.57  71428.6  2.8744e-05
  32  10  74  85  545  2428.57  100000  9.67833e-05
  33  50  74  85  519  2428.57  71428.6  4.56307e-05
  34  10  74  85  519  2428.57  71428.6  0.000400369
  35  10  74  100  519  2428.57  71428.6  0.000346927
  36  10  74  85  519  2714.29  71428.6  0.000333179
  37  10  74  85  312  2428.57  71428.6  3.79645e-05
  38  10  74  57  519  2428.57  71428.6  0.000287158
  39  0  71  85  519  2428.57  71428.6  3.23317e-05
  40  80  74  85  545  2428.57  71428.6  4.08057e-05
  41  0  74  85  519  2428.57  71428.6  3.23317e-05
  42  10  74  85  519  2428.57  71428.6  0.000400369
  43  10  74  100  519  2428.57  14285.7  3.03203e-05
  44  10  74  85  519  2142.86  71428.6  0.000381485
  45  10  71  85  519  2428.57  71428.6  0.000116657

 #  10 generation.# 
  0  10  74  85  519  2428.57  71428.6  0.000400369
  1  10  74  85  519  2428.57  71428.6  0.000400369
  2  10  74  85  519  2142.86  71428.6  0.000381485
  3  10  74  57  519  2428.57  14285.7  2.54739e-05
  4  10  74  85  519  2428.57  71428.6  0.000400369
  5  10  74  85  519  2142.86  71428.6  0.000381485
  6  10  74  57  519  2428.57  71428.6  0.000287158
  7  50  74  85  609  1285.71  71428.6  5.64923e-05
  8  10  74  85  545  2428.57  71428.6  0.000200005
  9  10  74  85  519  2428.57  71428.6  0.000400369
  10  0  74  85  312  2428.57  71428.6  3.23317e-05
  11  10  74  85  312  2142.86  71428.6  3.87944e-05
  12  10  74  85  545  2142.86  71428.6  0.000181444
  13  10  72  85  622  2142.86  71428.6  5.08981e-05
  14  10  74  85  545  2428.57  71428.6  0.000200005
  15  10  74  100  519  2428.57  71428.6  0.000346927
  16  10  74  85  506  2428.57  71428.6  0.000287725
  17  10  74  100  519  2428.57  71428.6  0.000346927
  18  10  74  85  519  2428.57  100000  6.44063e-05
  19  50  74  85  506  2142.86  71428.6  4.89463e-05
  20  10  74  85  519  2142.86  71428.6  0.000381485
  21  10  74  28  519  1285.71  71428.6  0.00016366
  22  10  74  42  519  2428.57  71428.6  0.000242729
  23  10  74  85  545  3000  71428.6  0.00020503
  24  30  72  85  506  2428.57  57142.9  5.29429e-05
  25  10  74  28  506  2428.57  71428.6  0.000127046
  26  10  74  85  519  2428.57  71428.6  0.000400369
  27  10  74  71  519  1285.71  57142.9  0.00010451
  28  10  74  42  519  2142.86  71428.6  0.000347596
  29  90  72  85  519  2428.57  71428.6  2.99856e-05
  30  10  74  57  519  3000  71428.6  0.000168466
  31  30  74  100  545  2142.86  71428.6  0.000167772
  32  10  72  57  519  2428.57  71428.6  0.000112766
  33  10  72  85  519  2428.57  71428.6  0.000146305
  34  10  74  100  519  2428.57  71428.6  0.000346927
  35  50  74  85  519  2428.57  71428.6  4.56307e-05
  36  10  74  85  519  2428.57  71428.6  0.000400369
  37  10  74  100  312  2428.57  71428.6  3.73467e-05
