 # Ind   alpha  r  the  phi  sigma_r   sigma_h   score #
 #   0 generation   #
7  30   71   28   325   2142.86   60000
8  10   71   0   506   2142.86   60000
9  10   71   28   532   2142.86   60000
10  10   77   28   635   2142.86   60000
11  10   71   28   532   2142.86   60000
12  0   71   28   325   2142.86   60000
13  10   71   28   532   2142.86   100000
14  10   71   28   532   2142.86   60000
15  10   70   42   545   2142.86   100000
16  0   71   28   532   2142.86   60000
17  10   71   28   532   2142.86   60000
18  10   71   0   506   2142.86   60000
19  10   71   28   532   2142.86   60000
20  10   77   28   532   2142.86   40000
21  10   71   28   532   2142.86   60000
22  10   70   28   325   2428.57   60000
23  10   71   85   583   2142.86   60000

 #   13 generation   #
0  10   71   28   532   2142.86   60000
1  10   71   28   532   2142.86   60000
2  10   71   42   545   2142.86   100000
3  10   70   28   532   2142.86   40000
4  30   71   28   532   2428.57   60000
5  10   71   28   532   2142.86   60000
6  10   71   28   532   2142.86   60000
7  10   71   28   532   1571.43   60000
8  10   71   28   532   2142.86   60000
9  0   71   28   532   2142.86   60000
10  10   71   28   532   2142.86   60000
11  10   71   28   532   2142.86   60000
12  10   77   28   532   2142.86   60000
13  10   71   28   532   2142.86   60000
14  90   71   0   506   2428.57   60000
15  10   71   28   532   2142.86   60000
16  10   71   28   532   2142.86   60000
17  10   71   28   532   2142.86   60000
18  10   71   28   532   1000   60000
19  10   71   28   532   2142.86   60000
20  10   71   28   532   2142.86   60000
21  10   71   85   583   2142.86   60000
22  0   71   28   532   2142.86   60000
23  10   71   28   532   2142.86   60000

 #   14 generation   #
0  10   71   28   532   2142.86   60000
1  10   71   28   532   2142.86   60000
2  10   71   28   532   2142.86   60000
3  10   71   28   532   2142.86   60000
4  10   71   28   532   2142.86   60000
5  10   71   28   532   2142.86   60000
6  10   71   28   325   3000   60000
7  10   71   28   532   2142.86   60000
8  50   71   28   532   2142.86   60000
9  10   71   28   532   2142.86   60000
10  10   71   28   532   2142.86   60000
11  10   71   28   532   2142.86   60000
12  10   71   28   532   1000   60000
13  10   71   28   635   2142.86   60000
14  10   71   28   532   2142.86   100000
15  10   71   42   545   2142.86   60000
16  10   71   28   635   2142.86   60000
17  0   71   28   532   2142.86   60000
18  10   71   0   506   2142.86   50000
19  10   71   28   532   2142.86   60000
20  10   71   28   532   2142.86   60000
21  10   71   28   532   2142.86   60000
22  10   71   28   532   2142.86   60000
23  10   71   28   532   2142.86   60000

 #   15 generation   #
0  10   71   28   532   2142.86   60000
1  10   71   28   532   2142.86   60000
2  10   71   28   532   2142.86   60000
3  10   71   28   635   2142.86   60000
4  10   71   28   532   2142.86   60000
5  10   71   28   635   2142.86   100000
6  10   71   28   532   2142.86   60000
7  10   71   42   545   2142.86   60000
8  30   71   28   532   2142.86   60000
9  10   71   28   532   2142.86   60000
10  10   71   28   532   2142.86   60000
11  10   71   28   532   2142.86   40000
12  10   71   28   532   2142.86   60000
13  10   71   28   532   2142.86   60000
14  10   74   28   532   2142.86   60000
15  10   71   28   532   2142.86   100000
16  10   71   28   532   2142.86   60000
17  10   71   28   532   2142.86   60000
18  10   71   28   532   2142.86   60000
19  10   71   28   532   2142.86   60000
20  30   71   28   532   2142.86   60000
21  10   71   28   532   2142.86   60000
22  10   71   28   532   2142.86   60000
23  10   71   28   532   2142.86   60000

 #   16 generation   #
0  10   71   28   532   2142.86   60000
1  10   71   28   532   2142.86   60000
2  10   71   28   532   2142.86   60000
3  10   71   28   532   2428.57   60000
4  10   71   28   532   2142.86   60000
5  10   71   0   506   2142.86   60000
6  10   71   28   532   2142.86   60000
7  10   71   28   325   2142.86   60000
8  10   71   28   532   2142.86   60000
